,Name,MC_USD_BILLION,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
0,Industrial and Commercial Bank of China,6303.44,5105.79,5799.16,520033.8
1,Agricultural Bank of China,5623.12,4554.73,5173.27,463907.4
2,China Construction Bank,5400.28,4374.23,4968.26,445523.1
3,Bank of China,4578.28,3708.41,4212.02,377708.1
4,JPMorgan Chase,4002.81,3242.28,3682.59,330231.82
5,Bank of America,3349.42,2713.03,3081.47,276327.15
6,HSBC,2919.84,2365.07,2686.25,240886.8
7,BNP Paribas,2867.44,2322.63,2638.04,236563.8
8,Mitsubishi UFJ Financial Group,2816.77,2281.58,2591.43,232383.52
9,Crédit Agricole,2736.95,2216.93,2517.99,225798.37
