,Average Rank,Film,Year,Rotten Tomatoes
0,1,The Godfather,1972,17
1,2,Citizen Kane,1941,2
2,3,Casablanca,1942,8
3,4,"The Godfather, Part II",1974,99
4,5,Singin' in the Rain,1952,52
5,6,Psycho,1960,88
6,7,Rear Window,1954,47
7,8,Apocalypse Now,1979,unranked
8,9,2001: A Space Odyssey,1968,unranked
9,10,Seven Samurai,1954,49
10,11,Vertigo,1958,unranked
11,12,Sunset Blvd,1950,21
12,13,Modern Times,1936,4
13,14,Lawrence of Arabia,1962,unranked
14,15,North by Northwest,1959,79
15,16,Star Wars,1977,unranked
16,17,Parasite,2019,6
17,18,Schindler's List,1993,unranked
18,19,Lord of the Rings: The Fellowship of the Ring,2001,unranked
19,20,Shawshank Redemption,1994,unranked
20,21,It's a Wonderful Life,1946,unranked
21,22,Pulp Fiction,1994,unranked
22,23,Avengers: Endgame,2019,7
23,24,City Lights,1931,unranked
24,25,One Flew Over the Cuckoo's Nest,1975,unranked
